zip_code,broad_category,least_category,mid_category,fine_category,final_category,original_price,new_price,discount
2700,Dairy And Cold Storage,Ready To Eat Meals,Ready To Eat Pizza,Unknown,Ready To Eat Pizza,33.95,20,13.95
2700,Bread And Cakes,Light Breads Dark Breads,Light Dark Buns,Unknown,Light Dark Buns,24.5,13,11.5
2700,Bread And Cakes,Light Breads Dark Breads,Light Dark Buns,Unknown,Light Dark Buns,24.95,19,5.95
2700,Bread And Cakes,Rye Breads,Seeded Rye Breads,Unknown,Seeded Rye Breads,15.95,12,3.95
2700,Bread And Cakes,Light Breads Dark Breads,Toast Breads,Unknown,Toast Breads,14.95,11,3.95
2700,Bread And Cakes,Rye Breads,Other Rye Breads,Unknown,Other Rye Breads,18.95,15,3.95
2700,Bread And Cakes,Rye Breads,Other Rye Breads,Unknown,Other Rye Breads,8,6,2
2700,Bread And Cakes,Light Breads Dark Breads,Whole Breads,Unknown,Whole Breads,26.95,8,18.95
2700,Bread And Cakes,Light Breads Dark Breads,Toast Breads,Unknown,Toast Breads,25,13,12
2700,Bread And Cakes,Light Breads Dark Breads,Light Dark Buns,Unknown,Light Dark Buns,23.95,11,12.95
2700,Dairy And Cold Storage,Lunch Meats,Liver Paste Patee,Unknown,Liver Paste Patee,29.95,16,13.95
2700,Dairy And Cold Storage,Ready To Eat Meals,Ready To Eat Pizza,Unknown,Ready To Eat Pizza,33.95,25,8.95
2700,Dairy And Cold Storage,Lunch Meats,Liver Paste Patee,Unknown,Liver Paste Patee,16.5,6,10.5
2700,Dairy And Cold Storage,Ready To Eat Meals,Dinner Meals,Unknown,Dinner Meals,30.95,20,10.95
2700,Dairy And Cold Storage,Ready To Eat Meals,Dinner Meals,Unknown,Dinner Meals,30.95,20,10.95
2700,Dairy And Cold Storage,Ready To Eat Meals,Dinner Meals,Unknown,Dinner Meals,30.95,20,10.95
2700,Dairy And Cold Storage,Ready To Eat Meals,Dinner Meals,Unknown,Dinner Meals,30.95,20,10.95
2700,Dairy And Cold Storage,Lunch Meats,Meat,Cold Cuts Chicken,Cold Cuts Chicken,15.95,4,11.95
2700,Dairy And Cold Storage,Lunch Meats,Liver Paste Patee,Unknown,Liver Paste Patee,21.95,5,16.95
2700,Meat Fish,Pork,Other Pork,Meat Fish,Meat Fish,149,84,65
2700,Dairy And Cold Storage,Tapas Specialities,Cold Cuts Specialities,Unknown,Cold Cuts Specialities,32.95,10,22.95
2700,Dairy And Cold Storage,Tapas Specialities,Olives Other Attachments,Unknown,Olives Other Attachments,24.95,11,13.95
2700,Dairy And Cold Storage,Potato Accessories,potato Salad,Unknown,potato Salad,35.95,20,15.95
2700,Dairy And Cold Storage,Lunch Meats,Meat,Meat Sausage,Meat Sausage,20.75,16,4.75
2700,Dairy And Cold Storage,Fresh Dough And Pancakes,Pancakes,Unknown,Pancakes,19.95,15,4.95
2700,Bread And Cakes,Rye Breads,Sun Flower Seeded Rye Breads,Unknown,Sun Flower Seeded Rye Breads,26.95,6,20.95
2700,Bread And Cakes,Crackers Crisp Bread,Crisp Bread,Unknown,Crisp Bread,21.95,16,5.95
2700,Bread And Cakes,Crackers Crisp Bread,Crisp Bread,Unknown,Crisp Bread,22.95,16,6.95
2700,Bread And Cakes,Crackers Crisp Bread,Crisp Bread,Unknown,Crisp Bread,24.95,16,8.95
2700,Dairy And Cold Storage,Dairy,Yoghurt Soured Milk Products,Yoghurt,Yoghurt,19.75,15,4.75
2700,Dairy And Cold Storage,Lunch Meats,Meat,Sliced Lunch Meats,Sliced Lunch Meats,24.95,8,16.95
2700,Dairy And Cold Storage,Lunch Meats,Liver Paste Patee,Unknown,Liver Paste Patee,29.95,16,13.95
2700,Dairy And Cold Storage,Lunch Meats,Meat,Roastbeef,Roastbeef,23.95,16,7.95
2700,Dairy And Cold Storage,Lunch Meats,Meat,Cold Cuts Chicken,Cold Cuts Chicken,15.95,6,9.95
2700,Meat Fish,Chicken,Other Chicken,Unknown,Other Chicken,69,50,19
2700,Dairy And Cold Storage,Bacon Sausages Toppings,Sausages,Cocktail Sausages Brunch Sausages,Cocktail Sausages Brunch Sausages,24.95,19,5.95
2700,Dairy And Cold Storage,Lunch Meats,Mayo Salads,Poultry Mayo Salads,Poultry Mayo Salads,14.95,9,5.95
2700,Meat Fish,Pork,Thick Sausages,Unknown,Thick Sausages,39,25,14
2700,Dairy And Cold Storage,Lunch Meats,Meat,Sliced Lunch Meats,Sliced Lunch Meats,14.25,10,4.25
2700,Dairy And Cold Storage,Ready To Eat Meals,Ready To Eat Pizza,Unknown,Ready To Eat Pizza,39.95,25,14.95
2700,Dairy And Cold Storage,Potato Accessories,potato Salad,Unknown,potato Salad,35.95,20,15.95
2700,Dairy And Cold Storage,Lunch Meats,Meat,Smoked Saddle Of Pork,Smoked Saddle Of Pork,17.95,9,8.95
2700,Dairy And Cold Storage,Dairy,Yoghurt Soured Milk Products,Yoghurt,Yoghurt,8.95,5,3.95
2700,Dairy And Cold Storage,Dairy,Yoghurt Soured Milk Products,Drinking Yoghurt Kids Yoghurt,Drinking Yoghurt Kids Yoghurt,12.95,9,3.95
2700,Dairy And Cold Storage,Lunch Meats,Prepared Chicken,Unknown,Prepared Chicken,22.95,18,4.95
2700,Dairy And Cold Storage,Tapas Specialities,Pesto Hummus,Unknown,Pesto Hummus,24.95,15,9.95
2700,Dairy And Cold Storage,Tapas Specialities,Sausages Specialities,Unknown,Sausages Specialities,44.95,20,24.95
2700,Dairy And Cold Storage,Potato Accessories,Prepared Potatoes,Unknown,Prepared Potatoes,15.95,12,3.95
2700,Dairy And Cold Storage,Potato Accessories,Prepared Potatoes,Unknown,Prepared Potatoes,15.95,12,3.95
2800,Unknown,Unknown,Unknown,Unknown,Unknown,59.9,29.95,29.95
2800,Dairy And Cold Storage,Ready To Eat Meals,Dinner Meals,Unknown,Dinner Meals,99,40,59
2800,Dairy And Cold Storage,Ready To Eat Meals,Dinner Meals,Unknown,Dinner Meals,89,60,29
2800,Dairy And Cold Storage,Ready To Eat Meals,Dinner Meals,Unknown,Dinner Meals,59,40,19
2800,Dairy And Cold Storage,Ready To Eat Meals,Dinner Meals,Unknown,Dinner Meals,59,45,14
2800,Unknown,Unknown,Unknown,Unknown,Unknown,59,39,20
2800,Meat Fish,Lamb,Unknown,Unknown,Lamb,89.9,67.43,22.47
2800,Unknown,Unknown,Unknown,Unknown,Unknown,59,44,15
2800,Dairy And Cold Storage,Ready To Eat Meals,Dinner Meals,Unknown,Dinner Meals,89,40,49
2800,Unknown,Unknown,Unknown,Unknown,Unknown,59.9,44.93,14.97
2800,Dairy And Cold Storage,Ready To Eat Meals,Dinner Meals,Unknown,Dinner Meals,59,40,19
2800,Meat Fish,Beef,Minced Beef,Unknown,Minced Beef,44.95,30,14.95
2800,Dairy And Cold Storage,Sauces Dressings,Dressings,Unknown,Dressings,21.95,14,7.95
2800,Bread And Cakes,Light Breads Dark Breads,Whole Breads,Unknown,Whole Breads,24.95,10,14.95
2800,Bread And Cakes,Light Breads Dark Breads,Toast Breads,Unknown,Toast Breads,34.95,16,18.95
2800,Dairy And Cold Storage,Bacon Sausages Toppings,Other Toppings,Unknown,Other Toppings,16.95,8,8.95
2800,Dairy And Cold Storage,Dairy,Yoghurt Soured Milk Products,Yoghurt,Yoghurt,31.95,12,19.95
2800,Bread And Cakes,Crackers Crisp Bread,Crackers,Rice Crackers Corn Crackers,Rice Crackers Corn Crackers,18.95,10,8.95
2800,Dairy And Cold Storage,Ready To Eat Meals,Dinner Meals,Unknown,Dinner Meals,17.95,14,3.95
2800,Bread And Cakes,Light Breads Dark Breads,Toast Breads,Unknown,Toast Breads,26.95,16,10.95
2800,Bread And Cakes,Light Breads Dark Breads,Whole Breads,Unknown,Whole Breads,21.95,9,12.95
2800,Bread And Cakes,Rye Breads,Sun Flower Seeded Rye Breads,Unknown,Sun Flower Seeded Rye Breads,9.75,7,2.75
2800,Bread And Cakes,Rye Breads,Sun Flower Seeded Rye Breads,Unknown,Sun Flower Seeded Rye Breads,21.95,10,11.95
2800,Bread And Cakes,Bread Specialities,Burger Buns,Unknown,Burger Buns,38.95,30,8.95
2800,Bread And Cakes,Rye Breads,Sun Flower Seeded Rye Breads,Unknown,Sun Flower Seeded Rye Breads,16.95,10,6.95
2800,Dairy And Cold Storage,Dairy,Yoghurt Soured Milk Products,Creme Fraiche Quark,Creme Fraiche Quark,23.5,18,5.5
2800,Meat Fish,Pork,Other Pork,Unknown,Other Pork,69,41,28
2800,Bread And Cakes,Bread Specialities,Naan Breads Flat Breads,Unknown,Naan Breads Flat Breads,10.95,8,2.95
2800,Dairy And Cold Storage,Fresh Dough And Pancakes,fresh Dough,Unknown,fresh Dough,13.25,6,7.25
2800,Dairy And Cold Storage,Bacon Sausages Toppings,Sausages,Chicken Sausages,Chicken Sausages,19.95,15,4.95
2800,Bread And Cakes,Light Breads Dark Breads,Toast Breads,Unknown,Toast Breads,8.25,6,2.25
2800,Bread And Cakes,Bread Specialities,Pita Bread,Unknown,Pita Bread,14.95,11,3.95
2800,Bread And Cakes,Bread Specialities,Pita Bread,Unknown,Pita Bread,14.5,8,6.5
2800,Unknown,Unknown,Unknown,Unknown,Unknown,69,45,24
2800,Unknown,Unknown,Unknown,Unknown,Unknown,179,140,39
2800,Meat Fish,Pork,Other Pork,Meat Fish,Meat Fish,179,129,50
2800,Meat Fish,Pork,Pork Chops Pork Schnitzels,Unknown,Pork Chops Pork Schnitzels,43.95,35,8.95
2800,Bread And Cakes,Bread Specialities,Naan Breads Flat Breads,Unknown,Naan Breads Flat Breads,12.95,8,4.95
2800,Bread And Cakes,Bread Specialities,Burger Buns,Unknown,Burger Buns,27.95,20,7.95
2800,Bread And Cakes,Rye Breads,Sun Flower Seeded Rye Breads,Unknown,Sun Flower Seeded Rye Breads,25.5,9,16.5
2800,Bread And Cakes,Rye Breads,Sun Flower Seeded Rye Breads,Unknown,Sun Flower Seeded Rye Breads,8.95,6,2.95
2800,Bread And Cakes,Rye Breads,Rye Breads With Carrots,Unknown,Rye Breads With Carrots,25.5,9,16.5
2800,Bread And Cakes,Rye Breads,Other Rye Breads,Unknown,Other Rye Breads,18.95,10,8.95
2800,Bread And Cakes,Light Breads Dark Breads,Toast Breads,Unknown,Toast Breads,21.95,17,4.95
2800,Bread And Cakes,Light Breads Dark Breads,Toast Breads,Unknown,Toast Breads,23.95,10,13.95
2800,Bread And Cakes,Light Breads Dark Breads,Toast Breads,Unknown,Toast Breads,22.95,10,12.95
2800,Bread And Cakes,Light Breads Dark Breads,Whole Breads,Unknown,Whole Breads,32.95,16,16.95
2800,Bread And Cakes,Rye Breads,Seeded Rye Breads,Unknown,Seeded Rye Breads,13.25,9,4.25
2800,Bread And Cakes,Crackers Crisp Bread,Crackers,Rice Crackers Corn Crackers,Rice Crackers Corn Crackers,18.95,10,8.95
2800,Dairy And Cold Storage,Tapas Specialities,Olives Other Attachments,Unknown,Olives Other Attachments,24.95,10,14.95
2800,Bread And Cakes,Rye Breads,Seeded Rye Breads,Unknown,Seeded Rye Breads,15.95,10,5.95
2800,Bread And Cakes,Light Breads Dark Breads,Toast Breads,Unknown,Toast Breads,25,9,16
2800,Bread And Cakes,Rye Breads,Sun Flower Seeded Rye Breads,Unknown,Sun Flower Seeded Rye Breads,19.95,14,5.95
2800,Bread And Cakes,Light Breads Dark Breads,Light Dark Buns,Unknown,Light Dark Buns,26.95,9,17.95
2800,Dairy And Cold Storage,Ready To Eat Meals,Dinner Salads,Unknown,Dinner Salads,39.95,28,11.95
2800,Dairy And Cold Storage,Dairy,Cheese,Sliced Cheese,Sliced Cheese,22.95,18,4.95
2800,Bread And Cakes,Rye Breads,Other Rye Breads,Unknown,Other Rye Breads,5.75,4,1.75
2800,Bread And Cakes,Rye Breads,Seeded Rye Breads,Unknown,Seeded Rye Breads,19.95,8,11.95
2800,Bread And Cakes,Light Breads Dark Breads,Light Dark Buns,Unknown,Light Dark Buns,10.5,8,2.5
2800,Dairy And Cold Storage,Dairy,Cheese,Cream Cheese,Cream Cheese,29.95,15,14.95
2800,Meat Fish,Pork,Thick Sausages,Unknown,Thick Sausages,34.95,25,9.95
2800,Dairy And Cold Storage,Dairy,Cheese,Cream Cheese,Cream Cheese,22.5,15,7.5
2800,Meat Fish,Pork,Other Pork,Unknown,Other Pork,69,45,24
2800,Bread And Cakes,Light Breads Dark Breads,Light Dark Buns,Unknown,Light Dark Buns,24.5,13,11.5
2800,Dairy And Cold Storage,Dairy,Yoghurt Soured Milk Products,Yoghurt,Yoghurt,8.95,5,3.95
2800,Dairy And Cold Storage,Ready To Eat Meals,Sandwiches Wraps,Unknown,Sandwiches Wraps,37.95,23,14.95
2800,Dairy And Cold Storage,Lunch Meats,Liver Paste Patee,Unknown,Liver Paste Patee,29.95,12,17.95
2800,Dairy And Cold Storage,Lunch Meats,Liver Paste Patee,Unknown,Liver Paste Patee,29.95,12,17.95
2800,Bread And Cakes,Crackers Crisp Bread,Crackers,Rice Crackers Corn Crackers,Rice Crackers Corn Crackers,11.95,10,1.95
2800,Dairy And Cold Storage,Bacon Sausages Toppings,Sausages,Pork Sausages,Pork Sausages,36.25,20,16.25
2800,Dairy And Cold Storage,Sauces Dressings,Remoulade Mayonnaise,Unknown,Remoulade Mayonnaise,16.95,9,7.95
2800,Dairy And Cold Storage,Fresh Dough And Pancakes,fresh Dough,Unknown,fresh Dough,13.25,6,7.25
2800,Dairy And Cold Storage,Lunch Meats,Mayo Salads,Other Mayo Salads,Other Mayo Salads,16,7,9
3100,Bread And Cakes,Rye Breads,Seeded Rye Breads,Unknown,Seeded Rye Breads,15.95,9,6.95
3100,Meat Fish,Pork,Roasted Whole Pork Pieces,Pork Neck Pork Loin,Pork Neck Pork Loin,32.95,25,7.95
3100,Meat Fish,Pork,Minced Pork Veal,Unknown,Minced Pork Veal,39.95,24,15.95
3100,Bread And Cakes,Light Breads Dark Breads,Toast Breads,Unknown,Toast Breads,18.95,10,8.95
3100,Unknown,Unknown,Unknown,Unknown,Unknown,25,19,6
3100,Bread And Cakes,Light Breads Dark Breads,Toast Breads,Unknown,Toast Breads,14.95,8,6.95
3100,Dairy And Cold Storage,Ready To Eat Meals,Dinner Meals,Unknown,Dinner Meals,32,23,9
3100,Unknown,Unknown,Unknown,Unknown,Unknown,15,11,4
3100,Dairy And Cold Storage,Ready To Eat Meals,Sandwiches Wraps,Unknown,Sandwiches Wraps,22.95,17,5.95
3100,Frozen Products,Ready Meals,Asian Ready Meals,Unknown,Asian Ready Meals,23.95,19,4.95
3100,Dairy And Cold Storage,Ready To Eat Meals,Dinner Meals,Unknown,Dinner Meals,30,19,11
3100,Dairy And Cold Storage,Ready To Eat Meals,Dinner Meals,Unknown,Dinner Meals,30,19,11
3100,Dairy And Cold Storage,Ready To Eat Meals,Dinner Meals,Unknown,Dinner Meals,34.95,26,8.95
3100,Meat Fish,Pork,Roasted Whole Pork Pieces,Pork Tenderloin,Pork Tenderloin,126.95,77,49.95
3100,Meat Fish,Pork,Other Pork,Meat Fish,Meat Fish,89.95,56,33.95
3100,Unknown,Unknown,Unknown,Unknown,Unknown,35,27,8
3100,Dairy And Cold Storage,Ready To Eat Meals,Dinner Meals,Unknown,Dinner Meals,30,15,15
3100,Dairy And Cold Storage,Ready To Eat Meals,Dinner Meals,Unknown,Dinner Meals,30,17,13
3100,Dairy And Cold Storage,Dairy,Cold Coffee Drinks Cacao,Unknown,Cold Coffee Drinks Cacao,16.95,10,6.95
3100,Meat Fish,Pork,Other Pork,Unknown,Other Pork,49.95,39,10.95
3100,Dairy And Cold Storage,Tapas Specialities,Pesto Hummus,Unknown,Pesto Hummus,19.95,14,5.95
3100,Dairy And Cold Storage,Lunch Meats,Meat,Sliced Lunch Meats,Sliced Lunch Meats,29.95,19,10.95
3100,Dairy And Cold Storage,Lunch Meats,Meat,Roastbeef,Roastbeef,19.95,10,9.95
3100,Dairy And Cold Storage,Lunch Meats,Meat,Sausage Roll,Sausage Roll,17.95,9,8.95
3100,Dairy And Cold Storage,Lunch Meats,Meat,Cold Cuts Ham,Cold Cuts Ham,17.95,14,3.95
3100,Dairy And Cold Storage,Lunch Meats,Meat,Cold Cuts Chicken,Cold Cuts Chicken,13.75,10,3.75
3100,Dairy And Cold Storage,Lunch Meats,Meat,Meat Sausage,Meat Sausage,17.95,9,8.95
3100,Dairy And Cold Storage,Lunch Meats,Meat,Cold Cuts Chicken,Cold Cuts Chicken,15.5,8,7.5
3100,Dairy And Cold Storage,Lunch Meats,Meat,Cold Cuts Chicken,Cold Cuts Chicken,16.95,9,7.95
3100,Dairy And Cold Storage,Lunch Meats,Meat,Sliced Lunch Meats,Sliced Lunch Meats,17.95,9,8.95
3100,Dairy And Cold Storage,Lunch Meats,Liver Paste Patee,Unknown,Liver Paste Patee,24.95,13,11.95
3100,Dairy And Cold Storage,Lunch Meats,Liver Paste Patee,Unknown,Liver Paste Patee,29.95,15,14.95
3100,Dairy And Cold Storage,Lunch Meats,Liver Paste Patee,Unknown,Liver Paste Patee,29.95,10,19.95
3100,Dairy And Cold Storage,Lunch Meats,Liver Paste Patee,Unknown,Liver Paste Patee,29.95,15,14.95
3100,Dairy And Cold Storage,Lunch Meats,Mayo Salads,Other Mayo Salads,Other Mayo Salads,15.95,9,6.95
3100,Bread And Cakes,Rye Breads,Sun Flower Seeded Rye Breads,Unknown,Sun Flower Seeded Rye Breads,21.95,11,10.95
3100,Bread And Cakes,Light Breads Dark Breads,Light Dark Buns,Unknown,Light Dark Buns,25,19,6
3100,Unknown,Unknown,Unknown,Unknown,Unknown,12,9,3
3100,Unknown,Unknown,Unknown,Unknown,Unknown,12,9,3
3100,Bread And Cakes,Light Breads Dark Breads,Toast Breads,Unknown,Toast Breads,21.95,12,9.95
3100,Dairy And Cold Storage,Lunch Meats,Meat,Meat Sausage,Meat Sausage,14.95,8,6.95
3100,Meat Fish,Pork,Roasted Whole Pork Pieces,Pork Tenderloin,Pork Tenderloin,44.95,35,9.95
3100,Dairy And Cold Storage,Ready To Eat Meals,Sandwiches Wraps,Unknown,Sandwiches Wraps,22.95,17,5.95
3100,Dairy And Cold Storage,Lunch Meats,Meat,Smoked Saddle Of Pork,Smoked Saddle Of Pork,17.95,9,8.95
3100,Dairy And Cold Storage,Dairy,Yoghurt Soured Milk Products,Yoghurt,Yoghurt,7.95,4,3.95
3100,Dairy And Cold Storage,Dairy,Yoghurt Soured Milk Products,Yoghurt,Yoghurt,10,7,3
3100,Dairy And Cold Storage,Bacon Sausages Toppings,Sausages,Pork Sausages,Pork Sausages,39,26,13
3100,Dairy And Cold Storage,Ready To Eat Meals,Sandwiches Wraps,Unknown,Sandwiches Wraps,22.95,18,4.95
3100,Dairy And Cold Storage,Dairy,Cheese,Cream Cheese,Cream Cheese,15,11,4
3100,Bread And Cakes,Rye Breads,Sun Flower Seeded Rye Breads,Unknown,Sun Flower Seeded Rye Breads,13.25,10,3.25
3100,Dairy And Cold Storage,Ready To Eat Meals,Dinner Meals,Unknown,Dinner Meals,30,23,7
3100,Dairy And Cold Storage,Ready To Eat Meals,Ready To Eat Meat Alternatives,Unknown,Ready To Eat Meat Alternatives,21.95,13,8.95
3100,Bread And Cakes,Rye Breads,Seeded Rye Breads,Unknown,Seeded Rye Breads,13.25,7,6.25
3100,Unknown,Unknown,Unknown,Unknown,Unknown,12,7,5
3100,Dairy And Cold Storage,Lunch Meats,Meat,Sausage Roll,Sausage Roll,45.95,35,10.95
3100,Dairy And Cold Storage,Lunch Meats,Meat,Sliced Lunch Meats,Sliced Lunch Meats,17.95,11,6.95
3100,Unknown,Unknown,Unknown,Unknown,Unknown,10,6,4
3100,Dairy And Cold Storage,Lunch Meats,Meat,Smoked Saddle Of Pork,Smoked Saddle Of Pork,15.95,9,6.95
3100,Dairy And Cold Storage,Dairy,Milk,Skimmed Milk,Skimmed Milk,15,11,4
3100,Unknown,Unknown,Unknown,Unknown,Unknown,15,8,7
3100,Dairy And Cold Storage,Lunch Meats,Meat,Sliced Lunch Meats,Sliced Lunch Meats,17.95,9,8.95
3100,Dairy And Cold Storage,Lunch Meats,Meat,Cold Cuts Chicken,Cold Cuts Chicken,17.95,10,7.95
3100,Dairy And Cold Storage,Lunch Meats,Meat,Sausage Roll,Sausage Roll,15.95,8,7.95
3100,Dairy And Cold Storage,Bacon Sausages Toppings,Sausages,Pork Sausages,Pork Sausages,39.95,29,10.95
3100,Dairy And Cold Storage,Dairy,Cream Whipped Cream,Whipping Cream,Whipping Cream,15,8,7
3000,Unknown,Unknown,Unknown,Unknown,Unknown,65,25,40
3000,Dairy And Cold Storage,Lunch Meats,Meat,Meat Sausage,Meat Sausage,19.95,10,9.95
3000,Dairy And Cold Storage,Dairy,Cheese,Mozarella,Mozarella,25.95,19,6.95
3000,Bread And Cakes,Light Breads Dark Breads,Toast Breads,Unknown,Toast Breads,15.25,12,3.25
3000,Bread And Cakes,Light Breads Dark Breads,Toast Breads,Unknown,Toast Breads,14.95,11,3.95
3000,Dairy And Cold Storage,Lunch Meats,Meat,Cold Cuts Turkey,Cold Cuts Turkey,14.25,11,3.25
3000,Bread And Cakes,Light Breads Dark Breads,Light Dark Buns,Unknown,Light Dark Buns,21.5,9,12.5
3000,Dairy And Cold Storage,Bacon Sausages Toppings,Sausages,Pork Sausages,Pork Sausages,33.25,20,13.25
3000,Dairy And Cold Storage,Lunch Meats,Mayo Salads,Italian Mayo Salads,Italian Mayo Salads,20.95,9,11.95
